block_id,eid,Education,Experience,Position,SalaryBand,probability
1,1,Masters,0-15,Senior,101k-120k,0.7
1,1,PhD,0-15,Senior,101k-120k,0.3
2,2,PhD,0-15,Senior,121k+,1.0
3,3,Masters,15-30+,Senior,101k-120k,0.7
3,3,PhD,15-30+,Senior,101k-120k,0.30000000000000004
4,4,Masters,0-15,Junior,70k-100k,0.8441558441558441
4,4,Masters,15-30+,Junior,70k-100k,0.15584415584415584
5,5,Masters,0-15,Junior,70k-100k,1.0
6,6,Masters,0-15,Junior,70k-100k,0.5909090909090908
6,6,Masters,15-30+,Junior,70k-100k,0.10909090909090907
6,6,PhD,0-15,Junior,70k-100k,0.2532467532467533
6,6,PhD,15-30+,Junior,70k-100k,0.046753246753246755
7,7,Masters,0-15,Manager,101k-120k,0.29
7,7,Masters,0-15,Manager,121k+,0.65
7,7,Masters,0-15,Manager,70k-100k,0.06
8,8,PhD,15-30+,Senior,121k+,1.0
9,9,Masters,0-15,Manager,70k-100k,0.8441558441558442
9,9,Masters,15-30+,Manager,70k-100k,0.15584415584415584
10,10,Masters,0-15,Junior,70k-100k,1.0
11,11,Masters,0-15,Senior,70k-100k,0.5909090909090909
11,11,Masters,15-30+,Senior,70k-100k,0.10909090909090906
11,11,PhD,0-15,Senior,70k-100k,0.2532467532467532
11,11,PhD,15-30+,Senior,70k-100k,0.046753246753246755
12,12,Masters,0-15,Junior,101k-120k,0.8441558441558441
12,12,Masters,15-30+,Junior,101k-120k,0.15584415584415584
13,13,PhD,15-30+,Senior,101k-120k,0.5
13,13,PhD,15-30+,Senior,121k+,0.27999999999999997
13,13,PhD,15-30+,Senior,70k-100k,0.22
14,14,PhD,0-15,Senior,70k-100k,1.0
15,15,Masters,0-15,Senior,101k-120k,1.0
16,16,Masters,0-15,Senior,101k-120k,0.29545454545454547
16,16,Masters,0-15,Senior,121k+,0.16545454545454547
16,16,Masters,0-15,Senior,70k-100k,0.13
16,16,Masters,15-30+,Senior,101k-120k,0.05454545454545453
16,16,Masters,15-30+,Senior,121k+,0.030545454545454542
16,16,Masters,15-30+,Senior,70k-100k,0.023999999999999994
16,16,PhD,0-15,Senior,101k-120k,0.1266233766233766
16,16,PhD,0-15,Senior,121k+,0.07090909090909091
16,16,PhD,0-15,Senior,70k-100k,0.05571428571428571
16,16,PhD,15-30+,Senior,101k-120k,0.023376623376623377
16,16,PhD,15-30+,Senior,121k+,0.013090909090909092
16,16,PhD,15-30+,Senior,70k-100k,0.010285714285714285
17,17,Masters,15-30+,Junior,70k-100k,0.7
17,17,PhD,15-30+,Junior,70k-100k,0.30000000000000004
18,18,Masters,0-15,Junior,70k-100k,0.8441558441558441
18,18,Masters,15-30+,Junior,70k-100k,0.15584415584415584
19,19,Masters,15-30+,Junior,70k-100k,0.7
19,19,PhD,15-30+,Junior,70k-100k,0.30000000000000004
20,20,Masters,0-15,Junior,70k-100k,0.8441558441558441
20,20,Masters,15-30+,Junior,70k-100k,0.15584415584415584
21,21,PhD,0-15,Senior,101k-120k,0.8441558441558441
21,21,PhD,15-30+,Senior,101k-120k,0.15584415584415584
22,22,PhD,0-15,Senior,121k+,0.8441558441558442
22,22,PhD,15-30+,Senior,121k+,0.15584415584415587
23,23,Masters,0-15,Junior,70k-100k,0.5909090909090908
23,23,Masters,15-30+,Junior,70k-100k,0.10909090909090907
23,23,PhD,0-15,Junior,70k-100k,0.2532467532467533
23,23,PhD,15-30+,Junior,70k-100k,0.046753246753246755
24,24,Masters,15-30+,Junior,70k-100k,1.0
25,25,PhD,0-15,Senior,121k+,1.0
26,26,Masters,0-15,Manager,101k-120k,0.7
26,26,PhD,0-15,Manager,101k-120k,0.30000000000000004
27,27,Masters,0-15,Senior,101k-120k,0.590909090909091
27,27,Masters,15-30+,Senior,101k-120k,0.10909090909090909
27,27,PhD,0-15,Senior,101k-120k,0.2532467532467533
27,27,PhD,15-30+,Senior,101k-120k,0.046753246753246755
28,28,Masters,0-15,Junior,70k-100k,0.5909090909090908
28,28,Masters,15-30+,Junior,70k-100k,0.10909090909090907
28,28,PhD,0-15,Junior,70k-100k,0.2532467532467533
28,28,PhD,15-30+,Junior,70k-100k,0.046753246753246755
29,29,PhD,0-15,Senior,121k+,1.0
30,30,Masters,15-30+,Junior,70k-100k,1.0
31,31,PhD,15-30+,Senior,70k-100k,1.0
32,32,Masters,15-30+,Manager,101k-120k,0.29
32,32,Masters,15-30+,Manager,121k+,0.6500000000000001
32,32,Masters,15-30+,Manager,70k-100k,0.060000000000000005
33,33,Masters,0-15,Junior,70k-100k,0.5909090909090908
33,33,Masters,15-30+,Junior,70k-100k,0.10909090909090907
33,33,PhD,0-15,Junior,70k-100k,0.2532467532467533
33,33,PhD,15-30+,Junior,70k-100k,0.046753246753246755
34,34,Masters,15-30+,Senior,70k-100k,1.0
35,35,Masters,0-15,Senior,121k+,1.0
36,36,Masters,0-15,Senior,101k-120k,0.5
36,36,Masters,0-15,Senior,121k+,0.28
36,36,Masters,0-15,Senior,70k-100k,0.21999999999999997
37,37,Masters,0-15,Junior,101k-120k,0.8441558441558441
37,37,Masters,15-30+,Junior,101k-120k,0.15584415584415584
38,38,Masters,15-30+,Senior,70k-100k,0.7
38,38,PhD,15-30+,Senior,70k-100k,0.3
39,39,PhD,15-30+,Senior,121k+,1.0
40,40,Masters,0-15,Junior,70k-100k,0.5909090909090908
40,40,Masters,15-30+,Junior,70k-100k,0.10909090909090907
40,40,PhD,0-15,Junior,70k-100k,0.2532467532467533
40,40,PhD,15-30+,Junior,70k-100k,0.046753246753246755
41,41,Masters,15-30+,Senior,101k-120k,1.0
42,42,Masters,0-15,Senior,70k-100k,0.7000000000000001
42,42,PhD,0-15,Senior,70k-100k,0.3
43,43,Masters,0-15,Senior,121k+,0.5909090909090909
43,43,Masters,15-30+,Senior,121k+,0.10909090909090909
43,43,PhD,0-15,Senior,121k+,0.2532467532467532
43,43,PhD,15-30+,Senior,121k+,0.04675324675324676
44,44,Masters,0-15,Senior,101k-120k,0.5
44,44,Masters,0-15,Senior,121k+,0.28
44,44,Masters,0-15,Senior,70k-100k,0.21999999999999997
45,45,Masters,0-15,Junior,70k-100k,0.5909090909090908
45,45,Masters,15-30+,Junior,70k-100k,0.10909090909090907
45,45,PhD,0-15,Junior,70k-100k,0.2532467532467533
45,45,PhD,15-30+,Junior,70k-100k,0.046753246753246755
46,46,Masters,0-15,Senior,121k+,0.8441558441558441
46,46,Masters,15-30+,Senior,121k+,0.15584415584415584
47,47,Masters,0-15,Senior,121k+,0.8441558441558441
47,47,Masters,15-30+,Senior,121k+,0.15584415584415584
48,48,PhD,0-15,Senior,121k+,1.0
49,49,PhD,0-15,Senior,121k+,1.0
50,50,Masters,0-15,Senior,121k+,0.7
50,50,PhD,0-15,Senior,121k+,0.30000000000000004
51,51,Masters,0-15,Senior,70k-100k,1.0
52,52,Masters,15-30+,Senior,101k-120k,1.0
53,53,Masters,15-30+,Senior,70k-100k,1.0
54,54,Masters,0-15,Senior,101k-120k,1.0
55,55,Masters,0-15,Junior,101k-120k,1.0
56,56,Masters,15-30+,Senior,101k-120k,0.7
56,56,PhD,15-30+,Senior,101k-120k,0.30000000000000004
57,57,Masters,0-15,Senior,121k+,0.8441558441558441
57,57,Masters,15-30+,Senior,121k+,0.15584415584415584
58,58,Masters,15-30+,Manager,101k-120k,0.29
58,58,Masters,15-30+,Manager,121k+,0.6500000000000001
58,58,Masters,15-30+,Manager,70k-100k,0.060000000000000005
59,59,Masters,0-15,Senior,101k-120k,1.0
60,60,Masters,0-15,Senior,70k-100k,1.0
61,61,Masters,15-30+,Senior,121k+,0.7
61,61,PhD,15-30+,Senior,121k+,0.3
62,62,Masters,0-15,Junior,101k-120k,0.5909090909090909
62,62,Masters,15-30+,Junior,101k-120k,0.10909090909090909
62,62,PhD,0-15,Junior,101k-120k,0.25324675324675333
62,62,PhD,15-30+,Junior,101k-120k,0.04675324675324676
63,63,Masters,0-15,Senior,101k-120k,0.35000000000000003
63,63,Masters,0-15,Senior,121k+,0.196
63,63,Masters,0-15,Senior,70k-100k,0.154
63,63,PhD,0-15,Senior,101k-120k,0.15000000000000002
63,63,PhD,0-15,Senior,121k+,0.084
63,63,PhD,0-15,Senior,70k-100k,0.066
64,64,PhD,0-15,Senior,101k-120k,0.5
64,64,PhD,0-15,Senior,121k+,0.28
64,64,PhD,0-15,Senior,70k-100k,0.21999999999999997
65,65,Masters,0-15,Junior,101k-120k,0.5909090909090909
65,65,Masters,15-30+,Junior,101k-120k,0.10909090909090909
65,65,PhD,0-15,Junior,101k-120k,0.25324675324675333
65,65,PhD,15-30+,Junior,101k-120k,0.04675324675324676
66,66,PhD,0-15,Manager,101k-120k,0.24480519480519478
66,66,PhD,0-15,Manager,121k+,0.5487012987012987
66,66,PhD,0-15,Manager,70k-100k,0.05064935064935065
66,66,PhD,15-30+,Manager,101k-120k,0.045194805194805183
66,66,PhD,15-30+,Manager,121k+,0.1012987012987013
66,66,PhD,15-30+,Manager,70k-100k,0.00935064935064935
67,67,Masters,0-15,Senior,121k+,1.0
68,68,Masters,0-15,Manager,101k-120k,0.8441558441558441
68,68,Masters,15-30+,Manager,101k-120k,0.15584415584415584
69,69,Masters,0-15,Junior,70k-100k,0.8441558441558441
69,69,Masters,15-30+,Junior,70k-100k,0.15584415584415584
70,70,Masters,0-15,Senior,101k-120k,0.35000000000000003
70,70,Masters,0-15,Senior,121k+,0.196
70,70,Masters,0-15,Senior,70k-100k,0.154
70,70,PhD,0-15,Senior,101k-120k,0.15000000000000002
70,70,PhD,0-15,Senior,121k+,0.084
70,70,PhD,0-15,Senior,70k-100k,0.066
71,71,Masters,15-30+,Senior,101k-120k,1.0
72,72,Masters,15-30+,Senior,121k+,1.0
73,73,Masters,0-15,Senior,101k-120k,0.5
73,73,Masters,0-15,Senior,121k+,0.28
73,73,Masters,0-15,Senior,70k-100k,0.21999999999999997
74,74,Masters,15-30+,Senior,101k-120k,1.0
75,75,Masters,0-15,Manager,101k-120k,0.20299999999999996
75,75,Masters,0-15,Manager,121k+,0.4549999999999999
75,75,Masters,0-15,Manager,70k-100k,0.04199999999999999
75,75,PhD,0-15,Manager,101k-120k,0.08700000000000001
75,75,PhD,0-15,Manager,121k+,0.19500000000000003
75,75,PhD,0-15,Manager,70k-100k,0.018
76,76,Masters,15-30+,Senior,101k-120k,0.7
76,76,PhD,15-30+,Senior,101k-120k,0.30000000000000004
77,77,PhD,0-15,Senior,121k+,0.8441558441558442
77,77,PhD,15-30+,Senior,121k+,0.15584415584415587
78,78,Masters,0-15,Junior,70k-100k,0.8441558441558441
78,78,Masters,15-30+,Junior,70k-100k,0.15584415584415584
79,79,PhD,0-15,Junior,70k-100k,1.0
80,80,Masters,0-15,Junior,70k-100k,0.5909090909090908
80,80,Masters,15-30+,Junior,70k-100k,0.10909090909090907
80,80,PhD,0-15,Junior,70k-100k,0.2532467532467533
80,80,PhD,15-30+,Junior,70k-100k,0.046753246753246755
81,81,Masters,0-15,Senior,101k-120k,1.0
82,82,Masters,0-15,Senior,101k-120k,1.0
83,83,Masters,0-15,Manager,101k-120k,0.7
83,83,PhD,0-15,Manager,101k-120k,0.30000000000000004
84,84,Masters,0-15,Junior,101k-120k,0.8441558441558441
84,84,Masters,15-30+,Junior,101k-120k,0.15584415584415584
85,85,PhD,0-15,Senior,101k-120k,0.4220779220779221
85,85,PhD,0-15,Senior,121k+,0.23636363636363641
85,85,PhD,0-15,Senior,70k-100k,0.18571428571428572
85,85,PhD,15-30+,Senior,101k-120k,0.07792207792207792
85,85,PhD,15-30+,Senior,121k+,0.04363636363636364
85,85,PhD,15-30+,Senior,70k-100k,0.03428571428571429
86,86,PhD,15-30+,Senior,101k-120k,1.0
87,87,Masters,0-15,Junior,101k-120k,0.7
87,87,PhD,0-15,Junior,101k-120k,0.30000000000000004
88,88,PhD,0-15,Manager,101k-120k,0.29
88,88,PhD,0-15,Manager,121k+,0.6499999999999999
88,88,PhD,0-15,Manager,70k-100k,0.06
89,89,Masters,0-15,Senior,101k-120k,0.5
89,89,Masters,0-15,Senior,121k+,0.28
89,89,Masters,0-15,Senior,70k-100k,0.21999999999999997
90,90,Masters,0-15,Junior,101k-120k,1.0
91,91,Masters,0-15,Junior,101k-120k,0.7
91,91,PhD,0-15,Junior,101k-120k,0.30000000000000004
92,92,PhD,0-15,Senior,70k-100k,1.0
93,93,Masters,0-15,Junior,70k-100k,0.7
93,93,PhD,0-15,Junior,70k-100k,0.3000000000000001
94,94,Masters,0-15,Senior,70k-100k,0.5909090909090909
94,94,Masters,15-30+,Senior,70k-100k,0.10909090909090906
94,94,PhD,0-15,Senior,70k-100k,0.2532467532467532
94,94,PhD,15-30+,Senior,70k-100k,0.046753246753246755
95,95,Masters,15-30+,Senior,101k-120k,0.7
95,95,PhD,15-30+,Senior,101k-120k,0.30000000000000004
96,96,Masters,0-15,Junior,70k-100k,0.8441558441558441
96,96,Masters,15-30+,Junior,70k-100k,0.15584415584415584
97,97,Masters,15-30+,Manager,121k+,1.0
98,98,Masters,15-30+,Senior,101k-120k,0.5
98,98,Masters,15-30+,Senior,121k+,0.28
98,98,Masters,15-30+,Senior,70k-100k,0.22000000000000003
99,99,Masters,0-15,Senior,121k+,0.5909090909090909
99,99,Masters,15-30+,Senior,121k+,0.10909090909090909
99,99,PhD,0-15,Senior,121k+,0.2532467532467532
99,99,PhD,15-30+,Senior,121k+,0.04675324675324676
100,100,PhD,0-15,Senior,101k-120k,1.0
