block_id,eid,Education,Experience,Position,probability
1,1,Masters,15-30+,Senior,1.0
2,2,Masters,0-15,Senior,0.844155844155844
2,2,Masters,15-30+,Senior,0.155844155844156
3,3,Masters,0-15,Junior,0.590909090909091
3,3,Masters,15-30+,Junior,0.109090909090909
3,3,PhD,0-15,Junior,0.253246753246753
3,3,PhD,15-30+,Junior,0.0467532467532468
4,4,Masters,0-15,Junior,0.844155844155844
4,4,Masters,15-30+,Junior,0.155844155844156
5,5,Masters,0-15,Junior,0.590909090909091
5,5,Masters,15-30+,Junior,0.109090909090909
5,5,PhD,0-15,Junior,0.253246753246753
5,5,PhD,15-30+,Junior,0.0467532467532468
6,6,Masters,0-15,Senior,1.0
7,7,Masters,15-30+,Manager,0.7
7,7,PhD,15-30+,Manager,0.3
8,8,Masters,0-15,Senior,0.7
8,8,PhD,0-15,Senior,0.3
9,9,Masters,0-15,Senior,1.0
10,10,Masters,0-15,Senior,0.590909090909091
10,10,Masters,15-30+,Senior,0.109090909090909
10,10,PhD,0-15,Senior,0.253246753246753
10,10,PhD,15-30+,Senior,0.0467532467532468
11,11,Masters,15-30+,Junior,0.7
11,11,PhD,15-30+,Junior,0.3
12,12,Masters,15-30+,Senior,1.0
13,13,Masters,0-15,Senior,0.844155844155844
13,13,Masters,15-30+,Senior,0.155844155844156
14,14,Masters,0-15,Senior,1.0
15,15,Masters,0-15,Junior,0.590909090909091
15,15,Masters,15-30+,Junior,0.109090909090909
15,15,PhD,0-15,Junior,0.253246753246753
15,15,PhD,15-30+,Junior,0.0467532467532468
16,16,Masters,0-15,Manager,1.0
17,17,Masters,0-15,Senior,0.590909090909091
17,17,Masters,15-30+,Senior,0.109090909090909
17,17,PhD,0-15,Senior,0.253246753246753
17,17,PhD,15-30+,Senior,0.0467532467532468
18,18,Masters,0-15,Senior,1.0
19,19,Masters,0-15,Senior,1.0
20,20,Masters,15-30+,Senior,1.0
21,21,PhD,0-15,Senior,0.844155844155844
21,21,PhD,15-30+,Senior,0.155844155844156
22,22,Masters,0-15,Senior,0.844155844155844
22,22,Masters,15-30+,Senior,0.155844155844156
23,23,Masters,0-15,Senior,0.7
23,23,PhD,0-15,Senior,0.3
24,24,PhD,15-30+,Senior,1.0
25,25,Masters,0-15,Junior,0.844155844155844
25,25,Masters,15-30+,Junior,0.155844155844156
26,26,Masters,0-15,Junior,0.7
26,26,PhD,0-15,Junior,0.3
27,27,Masters,0-15,Junior,0.7
27,27,PhD,0-15,Junior,0.3
28,28,Masters,0-15,Senior,0.844155844155844
28,28,Masters,15-30+,Senior,0.155844155844156
29,29,PhD,0-15,Manager,1.0
30,30,Masters,0-15,Senior,0.7
30,30,PhD,0-15,Senior,0.3
31,31,Masters,0-15,Senior,1.0
32,32,PhD,0-15,Senior,1.0
33,33,Masters,0-15,Junior,0.7
33,33,PhD,0-15,Junior,0.3
34,34,Masters,0-15,Junior,0.7
34,34,PhD,0-15,Junior,0.3
35,35,Masters,15-30+,Manager,1.0
36,36,Masters,0-15,Junior,0.7
36,36,PhD,0-15,Junior,0.3
37,37,PhD,0-15,Junior,0.844155844155844
37,37,PhD,15-30+,Junior,0.155844155844156
38,38,PhD,0-15,Senior,1.0
39,39,Masters,0-15,Junior,0.590909090909091
39,39,Masters,15-30+,Junior,0.109090909090909
39,39,PhD,0-15,Junior,0.253246753246753
39,39,PhD,15-30+,Junior,0.0467532467532468
40,40,Masters,15-30+,Senior,1.0
41,41,Masters,0-15,Senior,1.0
42,42,Masters,0-15,Junior,1.0
43,43,Masters,0-15,Senior,0.844155844155844
43,43,Masters,15-30+,Senior,0.155844155844156
44,44,Masters,0-15,Manager,1.0
45,45,Masters,0-15,Senior,0.590909090909091
45,45,Masters,15-30+,Senior,0.109090909090909
45,45,PhD,0-15,Senior,0.253246753246753
45,45,PhD,15-30+,Senior,0.0467532467532468
46,46,PhD,15-30+,Senior,1.0
47,47,Masters,0-15,Senior,0.7
47,47,PhD,0-15,Senior,0.3
48,48,Masters,0-15,Junior,1.0
49,49,Masters,0-15,Senior,0.844155844155844
49,49,Masters,15-30+,Senior,0.155844155844156
50,50,Masters,0-15,Senior,0.7
50,50,PhD,0-15,Senior,0.3
