block_id,eid,Position,SalaryBand,DefaultSalary,probability
1,1,Senior,101k-120k,105000,0.5
1,1,Senior,121k+,105000,0.28
1,1,Senior,70k-100k,105000,0.22
2,2,Senior,121k+,135000,1.0
3,3,Junior,70k-100k,78000,1.0
4,4,Junior,101k-120k,105000,1.0
5,5,Junior,101k-120k,72000,0.23
5,5,Junior,121k+,72000,0.05
5,5,Junior,70k-100k,72000,0.72
6,6,Senior,121k+,135000,1.0
7,7,Manager,121k+,128000,1.0
8,8,Senior,70k-100k,80000,1.0
9,9,Senior,101k-120k,111000,1.0
10,10,Senior,121k+,135000,1.0
11,11,Junior,101k-120k,102000,1.0
12,12,Senior,101k-120k,107000,0.5
12,12,Senior,121k+,107000,0.28
12,12,Senior,70k-100k,107000,0.22
13,13,Senior,121k+,135000,1.0
14,14,Senior,101k-120k,128000,0.5
14,14,Senior,121k+,128000,0.28
14,14,Senior,70k-100k,128000,0.22
15,15,Junior,101k-120k,105000,1.0
16,16,Manager,121k+,145000,1.0
17,17,Senior,70k-100k,74000,1.0
18,18,Senior,101k-120k,102000,1.0
19,19,Senior,121k+,128000,1.0
20,20,Senior,101k-120k,105000,1.0
21,21,Senior,101k-120k,114000,1.0
22,22,Senior,121k+,135000,1.0
23,23,Senior,70k-100k,72000,1.0
24,24,Senior,70k-100k,78000,1.0
25,25,Junior,101k-120k,107000,0.23
25,25,Junior,121k+,107000,0.05
25,25,Junior,70k-100k,107000,0.72
26,26,Junior,101k-120k,111000,1.0
27,27,Junior,101k-120k,105000,1.0
28,28,Senior,101k-120k,76000,0.5
28,28,Senior,121k+,76000,0.28
28,28,Senior,70k-100k,76000,0.22
29,29,Manager,101k-120k,114000,0.29
29,29,Manager,121k+,114000,0.65
29,29,Manager,70k-100k,114000,0.06
30,30,Senior,70k-100k,76000,1.0
31,31,Senior,70k-100k,72000,1.0
32,32,Senior,101k-120k,105000,0.5
32,32,Senior,121k+,105000,0.28
32,32,Senior,70k-100k,105000,0.22
33,33,Junior,101k-120k,105000,0.23
33,33,Junior,121k+,105000,0.05
33,33,Junior,70k-100k,105000,0.72
34,34,Junior,70k-100k,76000,1.0
35,35,Manager,101k-120k,140000,0.29
35,35,Manager,121k+,140000,0.65
35,35,Manager,70k-100k,140000,0.06
36,36,Junior,70k-100k,74000,1.0
37,37,Junior,70k-100k,84000,1.0
38,38,Senior,101k-120k,107000,1.0
39,39,Junior,101k-120k,105000,1.0
40,40,Senior,101k-120k,111000,1.0
41,41,Senior,101k-120k,114000,1.0
42,42,Junior,70k-100k,84000,1.0
43,43,Senior,101k-120k,102000,1.0
44,44,Manager,101k-120k,102000,1.0
45,45,Senior,121k+,125000,1.0
46,46,Senior,101k-120k,113000,1.0
47,47,Senior,101k-120k,116000,1.0
48,48,Junior,121k+,122000,1.0
49,49,Senior,101k-120k,76000,0.5
49,49,Senior,121k+,76000,0.28
49,49,Senior,70k-100k,76000,0.22
50,50,Senior,101k-120k,76000,0.5
50,50,Senior,121k+,76000,0.28
50,50,Senior,70k-100k,76000,0.22
