block_id,eid,Education,Experience,Position,probability
1,1,Masters,15-30+,Senior,1.0
2,2,Masters,0-15,Senior,0.844155844155844
2,2,Masters,15-30+,Senior,0.155844155844156
3,3,Masters,0-15,Senior,0.7
3,3,PhD,0-15,Senior,0.3
4,4,Masters,0-15,Senior,1.0
5,5,PhD,0-15,Junior,1.0
6,6,Masters,0-15,Junior,1.0
7,7,Masters,0-15,Senior,1.0
8,8,Masters,0-15,Senior,1.0
9,9,Masters,0-15,Junior,0.590909090909091
9,9,Masters,15-30+,Junior,0.109090909090909
9,9,PhD,0-15,Junior,0.253246753246753
9,9,PhD,15-30+,Junior,0.0467532467532468
10,10,Masters,0-15,Senior,1.0
11,11,Masters,0-15,Senior,1.0
12,12,PhD,0-15,Senior,1.0
13,13,Masters,0-15,Senior,1.0
14,14,Masters,0-15,Manager,1.0
15,15,Masters,15-30+,Manager,0.7
15,15,PhD,15-30+,Manager,0.3
16,16,Masters,15-30+,Senior,0.7
16,16,PhD,15-30+,Senior,0.3
17,17,Masters,0-15,Senior,0.844155844155844
17,17,Masters,15-30+,Senior,0.155844155844156
18,18,Masters,0-15,Manager,1.0
19,19,Masters,15-30+,Manager,1.0
20,20,PhD,15-30+,Senior,1.0
21,21,Masters,15-30+,Senior,0.7
21,21,PhD,15-30+,Senior,0.3
22,22,Masters,0-15,Senior,0.844155844155844
22,22,Masters,15-30+,Senior,0.155844155844156
23,23,Masters,0-15,Junior,0.7
23,23,PhD,0-15,Junior,0.3
24,24,Masters,0-15,Senior,0.844155844155844
24,24,Masters,15-30+,Senior,0.155844155844156
25,25,Masters,15-30+,Senior,0.7
25,25,PhD,15-30+,Senior,0.3
26,26,Masters,0-15,Senior,1.0
27,27,Masters,15-30+,Junior,1.0
28,28,Masters,15-30+,Senior,1.0
29,29,PhD,15-30+,Senior,1.0
30,30,Masters,0-15,Junior,1.0
31,31,Masters,0-15,Senior,0.7
31,31,PhD,0-15,Senior,0.3
32,32,PhD,0-15,Manager,1.0
33,33,Masters,0-15,Senior,0.844155844155844
33,33,Masters,15-30+,Senior,0.155844155844156
34,34,Masters,15-30+,Senior,1.0
35,35,PhD,0-15,Senior,0.844155844155844
35,35,PhD,15-30+,Senior,0.155844155844156
36,36,Masters,0-15,Senior,0.7
36,36,PhD,0-15,Senior,0.3
37,37,Masters,0-15,Senior,1.0
38,38,Masters,15-30+,Senior,1.0
39,39,Masters,0-15,Senior,0.7
39,39,PhD,0-15,Senior,0.3
40,40,Masters,15-30+,Manager,0.7
40,40,PhD,15-30+,Manager,0.3
41,41,Masters,0-15,Senior,0.590909090909091
41,41,Masters,15-30+,Senior,0.109090909090909
41,41,PhD,0-15,Senior,0.253246753246753
41,41,PhD,15-30+,Senior,0.0467532467532468
42,42,Masters,0-15,Manager,1.0
43,43,Masters,15-30+,Senior,1.0
44,44,Masters,0-15,Senior,0.844155844155844
44,44,Masters,15-30+,Senior,0.155844155844156
45,45,Masters,15-30+,Senior,1.0
46,46,Masters,15-30+,Senior,1.0
47,47,PhD,15-30+,Senior,1.0
48,48,PhD,0-15,Junior,0.844155844155844
48,48,PhD,15-30+,Junior,0.155844155844156
49,49,Masters,0-15,Junior,0.844155844155844
49,49,Masters,15-30+,Junior,0.155844155844156
50,50,Masters,15-30+,Senior,1.0
51,51,Masters,0-15,Senior,0.590909090909091
51,51,Masters,15-30+,Senior,0.109090909090909
51,51,PhD,0-15,Senior,0.253246753246753
51,51,PhD,15-30+,Senior,0.0467532467532468
52,52,Masters,15-30+,Manager,1.0
53,53,PhD,15-30+,Senior,1.0
54,54,Masters,15-30+,Manager,0.7
54,54,PhD,15-30+,Manager,0.3
55,55,Masters,0-15,Manager,0.7
55,55,PhD,0-15,Manager,0.3
56,56,Masters,15-30+,Senior,1.0
57,57,Masters,0-15,Senior,0.7
57,57,PhD,0-15,Senior,0.3
58,58,Masters,0-15,Senior,0.844155844155844
58,58,Masters,15-30+,Senior,0.155844155844156
59,59,Masters,0-15,Senior,1.0
60,60,Masters,15-30+,Senior,1.0
61,61,PhD,15-30+,Senior,1.0
62,62,PhD,0-15,Junior,0.844155844155844
62,62,PhD,15-30+,Junior,0.155844155844156
63,63,Masters,15-30+,Manager,1.0
64,64,Masters,0-15,Junior,0.590909090909091
64,64,Masters,15-30+,Junior,0.109090909090909
64,64,PhD,0-15,Junior,0.253246753246753
64,64,PhD,15-30+,Junior,0.0467532467532468
65,65,Masters,0-15,Junior,0.590909090909091
65,65,Masters,15-30+,Junior,0.109090909090909
65,65,PhD,0-15,Junior,0.253246753246753
65,65,PhD,15-30+,Junior,0.0467532467532468
66,66,Masters,0-15,Junior,0.590909090909091
66,66,Masters,15-30+,Junior,0.109090909090909
66,66,PhD,0-15,Junior,0.253246753246753
66,66,PhD,15-30+,Junior,0.0467532467532468
67,67,Masters,15-30+,Senior,0.7
67,67,PhD,15-30+,Senior,0.3
68,68,Masters,0-15,Senior,0.844155844155844
68,68,Masters,15-30+,Senior,0.155844155844156
69,69,PhD,15-30+,Senior,1.0
70,70,Masters,15-30+,Manager,1.0
71,71,Masters,0-15,Junior,0.590909090909091
71,71,Masters,15-30+,Junior,0.109090909090909
71,71,PhD,0-15,Junior,0.253246753246753
71,71,PhD,15-30+,Junior,0.0467532467532468
72,72,Masters,0-15,Senior,0.844155844155844
72,72,Masters,15-30+,Senior,0.155844155844156
73,73,Masters,15-30+,Senior,0.7
73,73,PhD,15-30+,Senior,0.3
74,74,PhD,0-15,Senior,0.844155844155844
74,74,PhD,15-30+,Senior,0.155844155844156
75,75,Masters,0-15,Senior,1.0
76,76,Masters,0-15,Junior,0.7
76,76,PhD,0-15,Junior,0.3
77,77,Masters,0-15,Junior,0.7
77,77,PhD,0-15,Junior,0.3
78,78,PhD,0-15,Manager,0.844155844155844
78,78,PhD,15-30+,Manager,0.155844155844156
79,79,PhD,0-15,Manager,0.844155844155844
79,79,PhD,15-30+,Manager,0.155844155844156
80,80,Masters,0-15,Senior,1.0
81,81,Masters,0-15,Senior,0.590909090909091
81,81,Masters,15-30+,Senior,0.109090909090909
81,81,PhD,0-15,Senior,0.253246753246753
81,81,PhD,15-30+,Senior,0.0467532467532468
82,82,Masters,0-15,Junior,1.0
83,83,Masters,0-15,Junior,0.590909090909091
83,83,Masters,15-30+,Junior,0.109090909090909
83,83,PhD,0-15,Junior,0.253246753246753
83,83,PhD,15-30+,Junior,0.0467532467532468
84,84,Masters,15-30+,Senior,0.7
84,84,PhD,15-30+,Senior,0.3
85,85,Masters,0-15,Junior,1.0
86,86,Masters,0-15,Junior,0.844155844155844
86,86,Masters,15-30+,Junior,0.155844155844156
87,87,PhD,0-15,Manager,1.0
88,88,Masters,15-30+,Manager,1.0
89,89,PhD,0-15,Manager,1.0
90,90,Masters,0-15,Junior,1.0
91,91,Masters,0-15,Manager,0.844155844155844
91,91,Masters,15-30+,Manager,0.155844155844156
92,92,Masters,15-30+,Senior,0.7
92,92,PhD,15-30+,Senior,0.3
93,93,Masters,0-15,Junior,0.7
93,93,PhD,0-15,Junior,0.3
94,94,Masters,0-15,Senior,0.7
94,94,PhD,0-15,Senior,0.3
95,95,Masters,0-15,Senior,0.7
95,95,PhD,0-15,Senior,0.3
96,96,PhD,15-30+,Senior,1.0
97,97,Masters,0-15,Manager,1.0
98,98,Masters,0-15,Senior,0.844155844155844
98,98,Masters,15-30+,Senior,0.155844155844156
99,99,Masters,0-15,Senior,0.7
99,99,PhD,0-15,Senior,0.3
100,100,Masters,15-30+,Senior,1.0
101,101,PhD,15-30+,Manager,1.0
102,102,PhD,0-15,Senior,1.0
103,103,Masters,0-15,Senior,1.0
104,104,Masters,0-15,Junior,0.7
104,104,PhD,0-15,Junior,0.3
105,105,Masters,0-15,Junior,0.844155844155844
105,105,Masters,15-30+,Junior,0.155844155844156
106,106,PhD,15-30+,Senior,1.0
107,107,PhD,0-15,Senior,0.844155844155844
107,107,PhD,15-30+,Senior,0.155844155844156
108,108,Masters,0-15,Senior,0.7
108,108,PhD,0-15,Senior,0.3
109,109,PhD,0-15,Senior,1.0
110,110,Masters,0-15,Senior,0.844155844155844
