block_id,Education,Experience,Position,probability
1,Masters,15-30+,Senior,1.0
2,Masters,0-15,Senior,0.8441558441558441
2,Masters,15-30+,Senior,0.15584415584415584
3,Masters,0-15,Senior,0.7
3,PhD,0-15,Senior,0.30000000000000004
4,Masters,0-15,Senior,1.0
5,PhD,0-15,Junior,1.0
6,Masters,0-15,Junior,1.0
7,Masters,0-15,Senior,1.0
8,Masters,0-15,Senior,1.0
9,Masters,0-15,Junior,0.5909090909090908
9,Masters,15-30+,Junior,0.10909090909090907
9,PhD,0-15,Junior,0.2532467532467533
9,PhD,15-30+,Junior,0.046753246753246755
10,Masters,0-15,Senior,1.0
11,Masters,0-15,Senior,1.0
12,PhD,0-15,Senior,1.0
13,Masters,0-15,Senior,1.0
14,Masters,0-15,Manager,1.0
15,Masters,15-30+,Manager,0.7
15,PhD,15-30+,Manager,0.3000000000000001
16,Masters,15-30+,Senior,0.7
16,PhD,15-30+,Senior,0.30000000000000004
17,Masters,0-15,Senior,0.8441558441558441
17,Masters,15-30+,Senior,0.15584415584415584
18,Masters,0-15,Manager,1.0
19,Masters,15-30+,Manager,1.0
20,PhD,15-30+,Senior,1.0
21,Masters,15-30+,Senior,0.7
21,PhD,15-30+,Senior,0.3
22,Masters,0-15,Senior,0.8441558441558442
22,Masters,15-30+,Senior,0.15584415584415584
23,Masters,0-15,Junior,0.7
23,PhD,0-15,Junior,0.3000000000000001
24,Masters,0-15,Senior,0.8441558441558441
24,Masters,15-30+,Senior,0.15584415584415584
25,Masters,15-30+,Senior,0.7
25,PhD,15-30+,Senior,0.3
26,Masters,0-15,Senior,1.0
27,Masters,15-30+,Junior,1.0
28,Masters,15-30+,Senior,1.0
29,PhD,15-30+,Senior,1.0
30,Masters,0-15,Junior,1.0
31,Masters,0-15,Senior,0.7000000000000001
31,PhD,0-15,Senior,0.30000000000000004
32,PhD,0-15,Manager,1.0
33,Masters,0-15,Senior,0.8441558441558441
33,Masters,15-30+,Senior,0.15584415584415587
34,Masters,15-30+,Senior,1.0
35,PhD,0-15,Senior,0.8441558441558441
35,PhD,15-30+,Senior,0.15584415584415584
36,Masters,0-15,Senior,0.7000000000000001
36,PhD,0-15,Senior,0.3
37,Masters,0-15,Senior,1.0
38,Masters,15-30+,Senior,1.0
39,Masters,0-15,Senior,0.7
39,PhD,0-15,Senior,0.3
40,Masters,15-30+,Manager,0.7
40,PhD,15-30+,Manager,0.30000000000000004
41,Masters,0-15,Senior,0.5909090909090909
41,Masters,15-30+,Senior,0.10909090909090907
41,PhD,0-15,Senior,0.2532467532467532
41,PhD,15-30+,Senior,0.046753246753246755
42,Masters,0-15,Manager,1.0
43,Masters,15-30+,Senior,1.0
44,Masters,0-15,Senior,0.8441558441558441
44,Masters,15-30+,Senior,0.15584415584415587
45,Masters,15-30+,Senior,1.0
46,Masters,15-30+,Senior,1.0
47,PhD,15-30+,Senior,1.0
