block_id,Position,SalaryBand,probability
1,Senior,121k+,1.0
2,Senior,101k-120k,0.5
2,Senior,121k+,0.28
2,Senior,70k-100k,0.22
3,Senior,121k+,1.0
4,Senior,101k-120k,1.0
5,Junior,101k-120k,1.0
6,Junior,70k-100k,1.0
7,Senior,70k-100k,1.0
8,Senior,101k-120k,1.0
9,Junior,70k-100k,0.9999999999999999
10,Senior,101k-120k,1.0
11,Senior,101k-120k,0.5
11,Senior,121k+,0.28
11,Senior,70k-100k,0.21999999999999997
12,Senior,70k-100k,1.0
13,Senior,121k+,1.0
14,Manager,101k-120k,0.29
14,Manager,121k+,0.65
14,Manager,70k-100k,0.06
15,Manager,121k+,1.0
16,Senior,101k-120k,1.0
17,Senior,121k+,1.0
18,Manager,121k+,1.0
19,Manager,70k-100k,1.0
20,Senior,101k-120k,0.5
20,Senior,121k+,0.27999999999999997
20,Senior,70k-100k,0.22
21,Senior,121k+,1.0
22,Senior,101k-120k,1.0
23,Junior,70k-100k,1.0
24,Senior,101k-120k,0.5
24,Senior,121k+,0.28
24,Senior,70k-100k,0.22
25,Senior,121k+,1.0
26,Senior,70k-100k,1.0
27,Junior,70k-100k,1.0
28,Senior,101k-120k,1.0
29,Senior,70k-100k,1.0
30,Junior,70k-100k,1.0
31,Senior,101k-120k,0.5
31,Senior,121k+,0.28
31,Senior,70k-100k,0.22
32,Manager,101k-120k,1.0
33,Senior,70k-100k,1.0
34,Senior,121k+,1.0
35,Senior,101k-120k,1.0
36,Senior,70k-100k,1.0
37,Senior,101k-120k,1.0
38,Senior,101k-120k,0.5
38,Senior,121k+,0.28
38,Senior,70k-100k,0.22000000000000003
39,Senior,101k-120k,1.0
40,Manager,101k-120k,1.0
41,Senior,101k-120k,0.5
41,Senior,121k+,0.28
41,Senior,70k-100k,0.22
42,Manager,101k-120k,0.29
42,Manager,121k+,0.65
42,Manager,70k-100k,0.06
43,Senior,101k-120k,1.0
44,Senior,70k-100k,1.0
45,Senior,101k-120k,1.0
46,Senior,121k+,1.0
47,Senior,70k-100k,1.0
48,Junior,70k-100k,1.0
49,Junior,70k-100k,1.0
50,Senior,121k+,1.0
51,Senior,101k-120k,1.0000000000000002
52,Manager,101k-120k,0.29
52,Manager,121k+,0.6500000000000001
52,Manager,70k-100k,0.060000000000000005
53,Senior,101k-120k,1.0
54,Manager,101k-120k,0.29
54,Manager,121k+,0.6499999999999999
54,Manager,70k-100k,0.06
55,Manager,121k+,0.9999999999999999
56,Senior,121k+,1.0
57,Senior,70k-100k,1.0
58,Senior,101k-120k,0.5
58,Senior,121k+,0.28
58,Senior,70k-100k,0.22
59,Senior,101k-120k,1.0
60,Senior,101k-120k,1.0
61,Senior,121k+,1.0
62,Junior,70k-100k,1.0
63,Manager,70k-100k,1.0
64,Junior,70k-100k,0.9999999999999999
65,Junior,70k-100k,0.9999999999999999
66,Junior,70k-100k,0.9999999999999999
67,Senior,101k-120k,1.0
68,Senior,121k+,1.0
69,Senior,121k+,1.0
70,Manager,101k-120k,0.29
70,Manager,121k+,0.6500000000000001
70,Manager,70k-100k,0.060000000000000005
71,Junior,70k-100k,0.9999999999999999
72,Senior,101k-120k,1.0
73,Senior,70k-100k,1.0
74,Senior,101k-120k,1.0
75,Senior,101k-120k,0.5
75,Senior,121k+,0.28
75,Senior,70k-100k,0.21999999999999997
76,Junior,101k-120k,1.0
77,Junior,70k-100k,1.0
78,Manager,121k+,1.0
79,Manager,121k+,1.0
80,Senior,101k-120k,1.0
81,Senior,101k-120k,1.0000000000000002
82,Junior,70k-100k,1.0
83,Junior,70k-100k,0.9999999999999999
84,Senior,101k-120k,1.0
85,Junior,70k-100k,1.0
86,Junior,101k-120k,1.0
87,Manager,101k-120k,0.29
87,Manager,121k+,0.6499999999999999
87,Manager,70k-100k,0.06
88,Manager,121k+,1.0
89,Manager,121k+,1.0
90,Junior,70k-100k,1.0
91,Manager,121k+,1.0
92,Senior,101k-120k,1.0
93,Junior,101k-120k,1.0
94,Senior,101k-120k,1.0
95,Senior,101k-120k,1.0
96,Senior,70k-100k,1.0
97,Manager,101k-120k,0.29
97,Manager,121k+,0.65
97,Manager,70k-100k,0.06
98,Senior,101k-120k,1.0
99,Senior,101k-120k,1.0
100,Senior,101k-120k,1.0
101,Manager,121k+,1.0
102,Senior,121k+,1.0
103,Senior,70k-100k,1.0
104,Junior,70k-100k,1.0
105,Junior,101k-120k,0.22999999999999998
105,Junior,121k+,0.05
105,Junior,70k-100k,0.72
106,Senior,101k-120k,1.0
107,Senior,70k-100k,1.0
108,Senior,101k-120k,0.5
108,Senior,121k+,0.28
108,Senior,70k-100k,0.22
109,Senior,101k-120k,1.0
110,Senior,101k-120k,1.0
111,Senior,101k-120k,1.0
112,Senior,101k-120k,0.5
112,Senior,121k+,0.27999999999999997
112,Senior,70k-100k,0.22
113,Senior,121k+,1.0
114,Manager,101k-120k,0.29
114,Manager,121k+,0.6499999999999999
114,Manager,70k-100k,0.059999999999999984
115,Senior,70k-100k,1.0
116,Junior,70k-100k,0.9999999999999999
117,Senior,101k-120k,1.0
118,Senior,101k-120k,0.5
118,Senior,121k+,0.28
118,Senior,70k-100k,0.21999999999999997
119,Senior,101k-120k,0.5
119,Senior,121k+,0.28
119,Senior,70k-100k,0.22
120,Manager,121k+,1.0
121,Manager,121k+,1.0
122,Manager,121k+,1.0
123,Junior,70k-100k,1.0
124,Senior,101k-120k,1.0
125,Manager,101k-120k,0.29
125,Manager,121k+,0.65
125,Manager,70k-100k,0.06
126,Manager,101k-120k,1.0
127,Junior,101k-120k,1.0
128,Junior,101k-120k,1.0
129,Manager,121k+,1.0
130,Senior,121k+,1.0
131,Manager,101k-120k,0.29
131,Manager,121k+,0.65
131,Manager,70k-100k,0.060000000000000005
132,Manager,121k+,1.0
133,Senior,121k+,1.0
134,Senior,101k-120k,1.0
135,Senior,101k-120k,0.5
135,Senior,121k+,0.28
135,Senior,70k-100k,0.22000000000000003
136,Junior,70k-100k,1.0
137,Manager,101k-120k,1.0
138,Senior,101k-120k,1.0
139,Manager,121k+,1.0
140,Senior,101k-120k,1.0
141,Senior,101k-120k,1.0
142,Manager,101k-120k,1.0
143,Senior,101k-120k,1.0
144,Senior,101k-120k,1.0000000000000002
145,Senior,70k-100k,1.0
146,Manager,101k-120k,0.29
146,Manager,121k+,0.6500000000000001
146,Manager,70k-100k,0.060000000000000005
147,Manager,121k+,1.0
148,Junior,70k-100k,1.0
149,Junior,101k-120k,1.0
150,Junior,70k-100k,1.0
151,Senior,101k-120k,0.5
151,Senior,121k+,0.28
151,Senior,70k-100k,0.22
152,Junior,70k-100k,1.0
153,Senior,101k-120k,1.0
154,Junior,70k-100k,1.0
155,Senior,121k+,1.0
156,Senior,101k-120k,0.5
156,Senior,121k+,0.28
156,Senior,70k-100k,0.22000000000000003
157,Manager,101k-120k,1.0
158,Senior,121k+,1.0
159,Senior,70k-100k,1.0
160,Senior,101k-120k,0.5
160,Senior,121k+,0.28
160,Senior,70k-100k,0.21999999999999997
161,Manager,101k-120k,0.29
161,Manager,121k+,0.65
161,Manager,70k-100k,0.060000000000000005
162,Junior,101k-120k,1.0
163,Manager,101k-120k,1.0
164,Manager,121k+,1.0
165,Senior,101k-120k,1.0
166,Senior,101k-120k,0.5
166,Senior,121k+,0.28
166,Senior,70k-100k,0.21999999999999997
167,Senior,101k-120k,1.0
168,Manager,70k-100k,1.0
169,Junior,70k-100k,0.9999999999999999
170,Manager,101k-120k,1.0
171,Manager,101k-120k,1.0
172,Senior,121k+,1.0
173,Senior,101k-120k,1.0
174,Junior,121k+,1.0
175,Manager,101k-120k,0.29
175,Manager,121k+,0.6500000000000001
175,Manager,70k-100k,0.060000000000000005
176,Junior,101k-120k,1.0
177,Senior,101k-120k,0.5
177,Senior,121k+,0.28
177,Senior,70k-100k,0.21999999999999997
178,Senior,121k+,1.0
179,Senior,101k-120k,1.0
180,Senior,101k-120k,0.5
180,Senior,121k+,0.28
180,Senior,70k-100k,0.21999999999999997
181,Senior,101k-120k,1.0
182,Senior,101k-120k,1.0
183,Senior,70k-100k,1.0
184,Senior,101k-120k,1.0
185,Junior,70k-100k,1.0
186,Senior,101k-120k,0.5
186,Senior,121k+,0.28
186,Senior,70k-100k,0.21999999999999997
187,Manager,101k-120k,1.0
188,Junior,70k-100k,1.0
189,Senior,70k-100k,1.0
190,Junior,101k-120k,0.22999999999999998
190,Junior,121k+,0.05
190,Junior,70k-100k,0.72
191,Senior,121k+,1.0
192,Junior,70k-100k,1.0
193,Senior,101k-120k,1.0
194,Senior,101k-120k,0.5
194,Senior,121k+,0.28
194,Senior,70k-100k,0.21999999999999997
195,Junior,70k-100k,1.0
196,Manager,121k+,1.0
197,Senior,101k-120k,1.0
198,Senior,121k+,1.0
199,Manager,121k+,1.0
200,Senior,101k-120k,1.0
201,Junior,70k-100k,1.0
202,Senior,70k-100k,1.0
203,Senior,121k+,1.0
204,Senior,70k-100k,1.0
205,Junior,70k-100k,1.0
206,Junior,101k-120k,1.0
207,Manager,101k-120k,0.29
207,Manager,121k+,0.6499999999999999
207,Manager,70k-100k,0.06
208,Senior,70k-100k,1.0
209,Junior,101k-120k,1.0
210,Senior,70k-100k,1.0
211,Manager,101k-120k,0.29
211,Manager,121k+,0.6500000000000001
211,Manager,70k-100k,0.060000000000000005
212,Senior,70k-100k,1.0
213,Senior,70k-100k,1.0
214,Senior,101k-120k,0.5
214,Senior,121k+,0.28
214,Senior,70k-100k,0.22
215,Senior,101k-120k,1.0000000000000002
216,Junior,70k-100k,1.0
217,Senior,101k-120k,0.5
217,Senior,121k+,0.28
217,Senior,70k-100k,0.22
218,Senior,101k-120k,1.0
219,Senior,121k+,1.0
220,Manager,101k-120k,0.29
220,Manager,121k+,0.6500000000000001
220,Manager,70k-100k,0.060000000000000005
221,Senior,70k-100k,1.0
222,Manager,101k-120k,0.29
222,Manager,121k+,0.65
222,Manager,70k-100k,0.06
223,Manager,101k-120k,0.29
223,Manager,121k+,0.6499999999999999
223,Manager,70k-100k,0.06
224,Manager,121k+,1.0
225,Senior,101k-120k,1.0
226,Manager,101k-120k,0.29
226,Manager,121k+,0.6500000000000001
226,Manager,70k-100k,0.060000000000000005
227,Junior,70k-100k,0.9999999999999999
228,Manager,121k+,0.9999999999999999
229,Senior,70k-100k,1.0
230,Junior,121k+,1.0
231,Senior,121k+,1.0
232,Manager,121k+,1.0
233,Senior,121k+,1.0
234,Senior,101k-120k,1.0
235,Junior,70k-100k,1.0
236,Senior,121k+,1.0
237,Senior,121k+,1.0
238,Junior,70k-100k,1.0
239,Senior,121k+,1.0
240,Senior,101k-120k,1.0
241,Senior,101k-120k,0.5
241,Senior,121k+,0.28
241,Senior,70k-100k,0.22
242,Senior,101k-120k,1.0
243,Senior,121k+,1.0
244,Junior,70k-100k,1.0
245,Senior,101k-120k,1.0
246,Senior,121k+,1.0
247,Manager,121k+,1.0
248,Junior,70k-100k,0.9999999999999999
249,Senior,101k-120k,0.5
249,Senior,121k+,0.28
249,Senior,70k-100k,0.22000000000000003
250,Senior,101k-120k,1.0
251,Senior,70k-100k,1.0
252,Manager,121k+,1.0
253,Junior,101k-120k,1.0
254,Junior,70k-100k,1.0
255,Manager,101k-120k,0.29
255,Manager,121k+,0.6499999999999999
255,Manager,70k-100k,0.059999999999999984
256,Senior,101k-120k,1.0000000000000002
257,Manager,101k-120k,0.29
257,Manager,121k+,0.6500000000000001
257,Manager,70k-100k,0.060000000000000005
258,Junior,70k-100k,1.0
259,Senior,101k-120k,1.0000000000000002
260,Senior,101k-120k,0.5
260,Senior,121k+,0.28
260,Senior,70k-100k,0.22000000000000003
261,Junior,70k-100k,1.0
262,Senior,101k-120k,0.5
262,Senior,121k+,0.28
262,Senior,70k-100k,0.21999999999999997
263,Senior,101k-120k,1.0000000000000002
264,Junior,101k-120k,1.0
265,Junior,70k-100k,1.0
266,Senior,121k+,1.0
267,Senior,101k-120k,1.0
268,Manager,101k-120k,0.29
268,Manager,121k+,0.65
268,Manager,70k-100k,0.06
269,Manager,121k+,1.0
270,Junior,70k-100k,1.0
271,Senior,70k-100k,1.0
272,Senior,101k-120k,1.0
273,Manager,101k-120k,0.29
273,Manager,121k+,0.65
273,Manager,70k-100k,0.06
274,Senior,101k-120k,0.5
274,Senior,121k+,0.27999999999999997
274,Senior,70k-100k,0.22
275,Manager,101k-120k,1.0
276,Junior,70k-100k,1.0
277,Manager,121k+,1.0
278,Senior,70k-100k,1.0
279,Junior,101k-120k,0.23
279,Junior,121k+,0.049999999999999996
279,Junior,70k-100k,0.72
280,Senior,101k-120k,1.0
281,Senior,101k-120k,0.5
281,Senior,121k+,0.28
281,Senior,70k-100k,0.22000000000000003
282,Senior,101k-120k,0.5
282,Senior,121k+,0.28
282,Senior,70k-100k,0.22000000000000003
283,Manager,101k-120k,0.29
283,Manager,121k+,0.65
283,Manager,70k-100k,0.060000000000000005
284,Senior,101k-120k,1.0000000000000002
285,Senior,101k-120k,1.0
286,Senior,101k-120k,0.5
286,Senior,121k+,0.28
286,Senior,70k-100k,0.22000000000000003
287,Senior,101k-120k,1.0
288,Junior,70k-100k,1.0
289,Junior,121k+,1.0
290,Senior,101k-120k,1.0
291,Manager,121k+,0.9999999999999999
292,Senior,121k+,1.0
293,Senior,70k-100k,1.0
294,Junior,101k-120k,1.0
295,Senior,101k-120k,1.0000000000000002
296,Senior,70k-100k,1.0
297,Senior,121k+,1.0
298,Senior,121k+,1.0
299,Senior,101k-120k,0.5
299,Senior,121k+,0.28
299,Senior,70k-100k,0.22
300,Senior,101k-120k,1.0
301,Senior,101k-120k,0.5
301,Senior,121k+,0.28
301,Senior,70k-100k,0.22
302,Senior,101k-120k,1.0
303,Senior,101k-120k,1.0
304,Manager,121k+,0.9999999999999999
305,Manager,101k-120k,0.29
305,Manager,121k+,0.6499999999999999
305,Manager,70k-100k,0.059999999999999984
306,Senior,101k-120k,1.0
307,Junior,70k-100k,1.0
308,Manager,101k-120k,0.29
308,Manager,121k+,0.6499999999999999
308,Manager,70k-100k,0.06
309,Senior,101k-120k,1.0
310,Senior,121k+,1.0
311,Manager,70k-100k,1.0
312,Junior,70k-100k,1.0
313,Senior,101k-120k,0.5
313,Senior,121k+,0.28
313,Senior,70k-100k,0.21999999999999997
314,Manager,121k+,1.0
315,Junior,70k-100k,1.0
316,Manager,101k-120k,0.29
316,Manager,121k+,0.6500000000000001
316,Manager,70k-100k,0.060000000000000005
317,Senior,101k-120k,1.0
318,Manager,121k+,1.0
319,Senior,101k-120k,0.5
319,Senior,121k+,0.27999999999999997
319,Senior,70k-100k,0.22
320,Senior,70k-100k,1.0
321,Senior,101k-120k,1.0
322,Senior,101k-120k,1.0
323,Manager,101k-120k,0.29
323,Manager,121k+,0.6499999999999999
323,Manager,70k-100k,0.06
324,Senior,101k-120k,0.5
324,Senior,121k+,0.28
324,Senior,70k-100k,0.22
325,Senior,101k-120k,1.0
326,Junior,70k-100k,1.0
327,Senior,121k+,1.0
328,Senior,101k-120k,1.0
329,Senior,101k-120k,0.5
329,Senior,121k+,0.28
329,Senior,70k-100k,0.22
330,Senior,101k-120k,1.0
331,Manager,121k+,1.0
332,Senior,121k+,1.0
333,Senior,70k-100k,1.0
334,Junior,101k-120k,0.23000000000000004
334,Junior,121k+,0.05000000000000001
334,Junior,70k-100k,0.7200000000000001
335,Manager,121k+,1.0
336,Senior,101k-120k,1.0
337,Senior,101k-120k,0.5
337,Senior,121k+,0.28
337,Senior,70k-100k,0.22
338,Junior,121k+,1.0
339,Senior,101k-120k,0.5
339,Senior,121k+,0.28
339,Senior,70k-100k,0.22
340,Junior,70k-100k,1.0
341,Senior,121k+,1.0
342,Senior,121k+,1.0
343,Senior,101k-120k,1.0
344,Junior,70k-100k,1.0
345,Manager,101k-120k,0.29
345,Manager,121k+,0.6499999999999999
345,Manager,70k-100k,0.06
346,Manager,121k+,1.0
347,Manager,121k+,1.0
348,Senior,70k-100k,1.0
349,Senior,70k-100k,1.0
350,Senior,101k-120k,0.5
350,Senior,121k+,0.28
350,Senior,70k-100k,0.22
351,Senior,101k-120k,0.5
351,Senior,121k+,0.28
351,Senior,70k-100k,0.22
352,Senior,101k-120k,1.0
353,Senior,101k-120k,0.5
353,Senior,121k+,0.28
353,Senior,70k-100k,0.21999999999999997
354,Senior,101k-120k,0.5
354,Senior,121k+,0.28
354,Senior,70k-100k,0.21999999999999997
355,Senior,70k-100k,1.0
356,Junior,70k-100k,1.0
357,Senior,101k-120k,0.5
357,Senior,121k+,0.28
357,Senior,70k-100k,0.22000000000000003
358,Senior,101k-120k,0.5
358,Senior,121k+,0.28
358,Senior,70k-100k,0.22
359,Senior,101k-120k,0.5
359,Senior,121k+,0.28
359,Senior,70k-100k,0.22000000000000003
360,Senior,101k-120k,1.0
361,Manager,101k-120k,0.29
361,Manager,121k+,0.6499999999999999
361,Manager,70k-100k,0.059999999999999984
362,Junior,101k-120k,1.0
363,Senior,101k-120k,0.5
363,Senior,121k+,0.28
363,Senior,70k-100k,0.21999999999999997
364,Senior,121k+,1.0
365,Senior,121k+,1.0
366,Senior,121k+,1.0
367,Senior,101k-120k,1.0
368,Senior,101k-120k,1.0
369,Manager,101k-120k,0.29
369,Manager,121k+,0.6500000000000001
369,Manager,70k-100k,0.060000000000000005
370,Senior,70k-100k,1.0
371,Junior,70k-100k,1.0
372,Junior,70k-100k,1.0
373,Senior,101k-120k,1.0
374,Senior,101k-120k,1.0
375,Senior,101k-120k,1.0
376,Senior,121k+,1.0
377,Senior,101k-120k,1.0
378,Senior,101k-120k,1.0
379,Senior,121k+,1.0
380,Senior,101k-120k,0.5
380,Senior,121k+,0.28
380,Senior,70k-100k,0.22
381,Senior,101k-120k,0.5
381,Senior,121k+,0.28
381,Senior,70k-100k,0.22000000000000003
382,Junior,70k-100k,1.0
383,Senior,101k-120k,0.5
383,Senior,121k+,0.28
383,Senior,70k-100k,0.22000000000000003
384,Manager,121k+,1.0
385,Junior,101k-120k,1.0
386,Junior,70k-100k,1.0
387,Senior,121k+,1.0
388,Senior,70k-100k,1.0
389,Senior,121k+,1.0
390,Manager,101k-120k,0.29
390,Manager,121k+,0.6500000000000001
390,Manager,70k-100k,0.060000000000000005
391,Senior,101k-120k,0.5
391,Senior,121k+,0.28
391,Senior,70k-100k,0.22000000000000003
392,Senior,101k-120k,1.0
393,Junior,101k-120k,1.0
394,Manager,101k-120k,0.29
394,Manager,121k+,0.65
394,Manager,70k-100k,0.060000000000000005
395,Senior,70k-100k,1.0
396,Senior,101k-120k,0.5
396,Senior,121k+,0.28
396,Senior,70k-100k,0.22
397,Senior,101k-120k,0.5
397,Senior,121k+,0.28
397,Senior,70k-100k,0.22000000000000003
398,Senior,101k-120k,1.0
399,Senior,70k-100k,1.0
400,Senior,101k-120k,1.0
401,Manager,121k+,1.0
402,Manager,121k+,1.0
403,Junior,70k-100k,0.9999999999999999
404,Junior,101k-120k,1.0
405,Senior,101k-120k,1.0000000000000002
406,Junior,101k-120k,1.0
407,Senior,121k+,1.0
408,Manager,121k+,0.9999999999999999
409,Manager,101k-120k,0.2899999999999999
409,Manager,121k+,0.6499999999999999
409,Manager,70k-100k,0.06
410,Senior,101k-120k,0.5
410,Senior,121k+,0.28
410,Senior,70k-100k,0.21999999999999997
411,Senior,121k+,1.0
412,Senior,101k-120k,1.0
413,Junior,101k-120k,1.0
414,Junior,70k-100k,1.0
415,Junior,101k-120k,0.22999999999999998
415,Junior,121k+,0.049999999999999996
415,Junior,70k-100k,0.7199999999999999
416,Senior,121k+,1.0
417,Senior,101k-120k,1.0
418,Senior,121k+,1.0
419,Junior,101k-120k,0.22999999999999998
419,Junior,121k+,0.05
419,Junior,70k-100k,0.72
420,Senior,101k-120k,1.0
421,Senior,101k-120k,0.5
421,Senior,121k+,0.28
421,Senior,70k-100k,0.21999999999999997
422,Manager,121k+,1.0
423,Senior,121k+,1.0
424,Junior,70k-100k,1.0
425,Junior,70k-100k,1.0
426,Manager,101k-120k,0.29
426,Manager,121k+,0.65
426,Manager,70k-100k,0.06
427,Senior,101k-120k,0.5
427,Senior,121k+,0.28
427,Senior,70k-100k,0.22
428,Senior,101k-120k,0.5
428,Senior,121k+,0.28
428,Senior,70k-100k,0.22000000000000003
429,Junior,70k-100k,1.0
430,Junior,101k-120k,1.0
431,Senior,121k+,1.0
432,Junior,101k-120k,0.22999999999999998
432,Junior,121k+,0.05
432,Junior,70k-100k,0.72
433,Senior,101k-120k,0.5
433,Senior,121k+,0.28
433,Senior,70k-100k,0.21999999999999997
434,Senior,121k+,1.0
435,Manager,121k+,1.0
436,Manager,121k+,0.9999999999999999
437,Junior,70k-100k,1.0
438,Junior,70k-100k,0.9999999999999999
439,Senior,101k-120k,1.0
440,Senior,101k-120k,1.0
441,Junior,101k-120k,1.0
442,Manager,121k+,1.0
443,Senior,101k-120k,1.0
444,Manager,121k+,1.0
445,Senior,121k+,1.0
446,Senior,121k+,1.0
447,Senior,101k-120k,1.0
448,Senior,70k-100k,1.0
449,Senior,70k-100k,1.0
450,Junior,70k-100k,1.0
451,Manager,101k-120k,0.29
451,Manager,121k+,0.6500000000000001
451,Manager,70k-100k,0.060000000000000005
452,Senior,70k-100k,1.0
453,Senior,101k-120k,0.5
453,Senior,121k+,0.28
453,Senior,70k-100k,0.21999999999999997
454,Senior,101k-120k,0.5
454,Senior,121k+,0.28
454,Senior,70k-100k,0.22000000000000003
455,Junior,101k-120k,1.0
456,Junior,70k-100k,0.9999999999999999
457,Senior,70k-100k,1.0
458,Senior,101k-120k,0.5
458,Senior,121k+,0.28
458,Senior,70k-100k,0.21999999999999997
459,Senior,101k-120k,1.0
460,Junior,70k-100k,0.9999999999999999
461,Junior,70k-100k,1.0
462,Senior,121k+,1.0
463,Manager,101k-120k,1.0
464,Senior,101k-120k,0.5
464,Senior,121k+,0.28
464,Senior,70k-100k,0.22
465,Junior,70k-100k,0.9999999999999999
466,Junior,70k-100k,1.0
467,Manager,101k-120k,1.0
468,Senior,101k-120k,1.0
469,Junior,101k-120k,1.0
470,Senior,101k-120k,1.0
471,Senior,101k-120k,0.5
471,Senior,121k+,0.28
471,Senior,70k-100k,0.21999999999999997
472,Junior,70k-100k,1.0
473,Senior,121k+,1.0
474,Junior,70k-100k,1.0
475,Manager,101k-120k,1.0
476,Junior,70k-100k,0.9999999999999999
477,Junior,121k+,1.0
478,Manager,121k+,1.0
479,Manager,70k-100k,1.0
480,Senior,101k-120k,1.0
481,Senior,101k-120k,1.0
482,Senior,121k+,1.0
483,Senior,101k-120k,1.0
484,Senior,101k-120k,1.0
485,Manager,101k-120k,0.29
485,Manager,121k+,0.65
485,Manager,70k-100k,0.060000000000000005
486,Senior,101k-120k,0.5
486,Senior,121k+,0.28
486,Senior,70k-100k,0.22
487,Senior,101k-120k,0.5
487,Senior,121k+,0.28
487,Senior,70k-100k,0.22
488,Senior,101k-120k,1.0
489,Manager,121k+,1.0
490,Junior,101k-120k,1.0
491,Senior,101k-120k,1.0
492,Senior,70k-100k,1.0
493,Senior,101k-120k,1.0
494,Manager,121k+,1.0
495,Manager,101k-120k,0.29
495,Manager,121k+,0.6499999999999999
495,Manager,70k-100k,0.06
496,Senior,101k-120k,1.0
497,Senior,121k+,1.0
498,Senior,121k+,1.0
499,Junior,101k-120k,1.0
500,Junior,121k+,1.0
501,Manager,101k-120k,1.0
502,Senior,101k-120k,0.5
502,Senior,121k+,0.27999999999999997
502,Senior,70k-100k,0.22
503,Junior,70k-100k,1.0
504,Senior,101k-120k,0.5
504,Senior,121k+,0.28
504,Senior,70k-100k,0.22
505,Manager,121k+,1.0
506,Junior,101k-120k,1.0
507,Manager,101k-120k,0.29
507,Manager,121k+,0.65
507,Manager,70k-100k,0.060000000000000005
508,Manager,101k-120k,0.2899999999999999
508,Manager,121k+,0.6499999999999999
508,Manager,70k-100k,0.06
509,Senior,101k-120k,1.0
510,Senior,101k-120k,1.0
511,Junior,70k-100k,1.0
512,Senior,121k+,1.0
513,Senior,121k+,1.0
514,Senior,121k+,1.0
515,Senior,101k-120k,0.5
515,Senior,121k+,0.28
515,Senior,70k-100k,0.22
516,Senior,70k-100k,1.0
517,Junior,70k-100k,1.0
518,Senior,70k-100k,1.0
519,Junior,70k-100k,0.9999999999999999
520,Senior,101k-120k,0.5
520,Senior,121k+,0.28
520,Senior,70k-100k,0.22000000000000003
521,Junior,70k-100k,1.0
522,Senior,101k-120k,0.5
522,Senior,121k+,0.28
522,Senior,70k-100k,0.21999999999999997
523,Senior,101k-120k,0.5
523,Senior,121k+,0.28
523,Senior,70k-100k,0.22
524,Junior,70k-100k,1.0
525,Junior,101k-120k,1.0
