block_id,Position,Experience,Education,probability
1,Senior,0-15,Masters,0.7
1,Senior,0-15,PhD,0.3
2,Senior,0-15,PhD,1.0
3,Senior,15-30+,Masters,0.7
3,Senior,15-30+,PhD,0.3
4,Junior,0-15,Masters,0.844155844155844
4,Junior,15-30+,Masters,0.155844155844156
5,Junior,0-15,Masters,1.0
6,Junior,0-15,Masters,0.590909090909091
6,Junior,0-15,PhD,0.253246753246753
6,Junior,15-30+,Masters,0.109090909090909
6,Junior,15-30+,PhD,0.0467532467532468
7,Manager,0-15,Masters,1.0
8,Senior,15-30+,PhD,1.0
9,Manager,0-15,Masters,0.844155844155844
9,Manager,15-30+,Masters,0.155844155844156
10,Junior,0-15,Masters,1.0
11,Senior,0-15,Masters,0.590909090909091
11,Senior,0-15,PhD,0.253246753246753
11,Senior,15-30+,Masters,0.109090909090909
11,Senior,15-30+,PhD,0.0467532467532468
12,Junior,0-15,Masters,0.844155844155844
12,Junior,15-30+,Masters,0.155844155844156
13,Senior,15-30+,PhD,1.0
14,Senior,0-15,PhD,1.0
15,Senior,0-15,Masters,1.0
16,Senior,0-15,Masters,0.590909090909091
16,Senior,0-15,PhD,0.253246753246753
16,Senior,15-30+,Masters,0.109090909090909
16,Senior,15-30+,PhD,0.0467532467532468
17,Junior,15-30+,Masters,0.7
17,Junior,15-30+,PhD,0.3
18,Junior,0-15,Masters,0.844155844155844
18,Junior,15-30+,Masters,0.155844155844156
19,Junior,15-30+,Masters,0.7
19,Junior,15-30+,PhD,0.3
20,Junior,0-15,Masters,0.844155844155844
20,Junior,15-30+,Masters,0.155844155844156
21,Senior,0-15,PhD,0.844155844155844
21,Senior,15-30+,PhD,0.155844155844156
22,Senior,0-15,PhD,0.844155844155844
22,Senior,15-30+,PhD,0.155844155844156
23,Junior,0-15,Masters,0.590909090909091
23,Junior,0-15,PhD,0.253246753246753
23,Junior,15-30+,Masters,0.109090909090909
23,Junior,15-30+,PhD,0.0467532467532468
24,Junior,15-30+,Masters,1.0
25,Senior,0-15,PhD,1.0
26,Manager,0-15,Masters,0.7
26,Manager,0-15,PhD,0.3
27,Senior,0-15,Masters,0.590909090909091
27,Senior,0-15,PhD,0.253246753246753
27,Senior,15-30+,Masters,0.109090909090909
27,Senior,15-30+,PhD,0.0467532467532468
28,Junior,0-15,Masters,0.590909090909091
28,Junior,0-15,PhD,0.253246753246753
28,Junior,15-30+,Masters,0.109090909090909
28,Junior,15-30+,PhD,0.0467532467532468
29,Senior,0-15,PhD,1.0
30,Junior,15-30+,Masters,1.0
31,Senior,15-30+,PhD,1.0
32,Manager,15-30+,Masters,1.0
33,Junior,0-15,Masters,0.590909090909091
33,Junior,0-15,PhD,0.253246753246753
33,Junior,15-30+,Masters,0.109090909090909
33,Junior,15-30+,PhD,0.0467532467532468
34,Senior,15-30+,Masters,1.0
35,Senior,0-15,Masters,1.0
36,Senior,0-15,Masters,1.0
37,Junior,0-15,Masters,0.844155844155844
37,Junior,15-30+,Masters,0.155844155844156
38,Senior,15-30+,Masters,0.7
