block_id,Position,SalaryBand,DefaultSalary,probability
1,Junior,70k-100k,74000,1.0
2,Manager,121k+,135000,1.0
3,Junior,70k-100k,78000,1.0
4,Senior,101k-120k,128000,0.5
4,Senior,121k+,128000,0.28
4,Senior,70k-100k,128000,0.22
5,Junior,70k-100k,72000,1.0
6,Senior,101k-120k,111000,1.0
7,Senior,101k-120k,105000,0.5
7,Senior,121k+,105000,0.28
7,Senior,70k-100k,105000,0.22
8,Manager,101k-120k,135000,0.29
8,Manager,121k+,135000,0.65
8,Manager,70k-100k,135000,0.06
9,Manager,101k-120k,135000,0.29
9,Manager,121k+,135000,0.65
9,Manager,70k-100k,135000,0.06
10,Senior,101k-120k,113000,0.5
10,Senior,121k+,113000,0.28
10,Senior,70k-100k,113000,0.22
11,Manager,101k-120k,122000,0.29
11,Manager,121k+,122000,0.65
11,Manager,70k-100k,122000,0.06
12,Manager,101k-120k,107000,0.29
12,Manager,121k+,107000,0.65
12,Manager,70k-100k,107000,0.06
13,Senior,101k-120k,113000,1.0
14,Manager,101k-120k,128000,0.29
14,Manager,121k+,128000,0.65
14,Manager,70k-100k,128000,0.06
15,Junior,101k-120k,105000,1.0
16,Junior,70k-100k,84000,1.0
17,Senior,101k-120k,125000,0.5
17,Senior,121k+,125000,0.28
17,Senior,70k-100k,125000,0.22
18,Senior,101k-120k,102000,1.0
19,Senior,101k-120k,107000,1.0
20,Junior,70k-100k,74000,1.0
21,Junior,70k-100k,84000,1.0
22,Senior,121k+,135000,1.0
23,Senior,101k-120k,102000,1.0
24,Senior,101k-120k,111000,1.0
25,Senior,121k+,131000,1.0
26,Senior,101k-120k,111000,1.0
27,Senior,101k-120k,105000,1.0
28,Manager,101k-120k,107000,1.0
29,Manager,101k-120k,114000,1.0
30,Senior,101k-120k,76000,0.5
30,Senior,121k+,76000,0.28
30,Senior,70k-100k,76000,0.22
