block_id,Education,Experience,Position,SalaryBand,probability,DefaultSalary
1,Masters,15-30+,Senior,121k+,1.0,125000
2,Masters,0-15,Senior,101k-120k,0.42207792207792205,113000
2,Masters,0-15,Senior,121k+,0.2363636363636364,113000
2,Masters,0-15,Senior,70k-100k,0.18571428571428572,113000
2,Masters,15-30+,Senior,101k-120k,0.07792207792207792,113000
2,Masters,15-30+,Senior,121k+,0.04363636363636364,113000
2,Masters,15-30+,Senior,70k-100k,0.03428571428571429,113000
3,Masters,0-15,Senior,121k+,0.7,135000
3,PhD,0-15,Senior,121k+,0.30000000000000004,135000
4,Masters,0-15,Senior,101k-120k,1.0,105000
5,PhD,0-15,Junior,101k-120k,1.0,102000
6,Masters,0-15,Junior,70k-100k,1.0,78000
7,Masters,0-15,Senior,70k-100k,1.0,74000
8,Masters,0-15,Senior,101k-120k,1.0,113000
9,Masters,0-15,Junior,70k-100k,0.5909090909090908,78000
9,Masters,15-30+,Junior,70k-100k,0.10909090909090907,78000
9,PhD,0-15,Junior,70k-100k,0.2532467532467533,78000
9,PhD,15-30+,Junior,70k-100k,0.046753246753246755,78000
10,Masters,0-15,Senior,101k-120k,1.0,113000
11,Masters,0-15,Senior,101k-120k,0.5,102000
11,Masters,0-15,Senior,121k+,0.28,102000
11,Masters,0-15,Senior,70k-100k,0.21999999999999997,102000
12,PhD,0-15,Senior,70k-100k,1.0,74000
13,Masters,0-15,Senior,121k+,1.0,135000
14,Masters,0-15,Manager,101k-120k,0.29,128000
14,Masters,0-15,Manager,121k+,0.65,128000
14,Masters,0-15,Manager,70k-100k,0.06,128000
15,Masters,15-30+,Manager,121k+,0.7,125000
15,PhD,15-30+,Manager,121k+,0.3000000000000001,125000
16,Masters,15-30+,Senior,101k-120k,0.7,114000
16,PhD,15-30+,Senior,101k-120k,0.30000000000000004,114000
17,Masters,0-15,Senior,121k+,0.8441558441558441,125000
17,Masters,15-30+,Senior,121k+,0.15584415584415584,125000
18,Masters,0-15,Manager,121k+,1.0,122000
19,Masters,15-30+,Manager,70k-100k,1.0,74000
20,PhD,15-30+,Senior,101k-120k,0.5,128000
20,PhD,15-30+,Senior,121k+,0.27999999999999997,128000
20,PhD,15-30+,Senior,70k-100k,0.22,128000
21,Masters,15-30+,Senior,121k+,0.7,140000
21,PhD,15-30+,Senior,121k+,0.3,140000
22,Masters,0-15,Senior,101k-120k,0.8441558441558442,111000
